image_top_1	new_class
432.0	туфли
-1.0	квартира,
1150.0	капкейки
1376.0	гараж,
66.0	кофта
851.0	наушники
1224.0	бензопила
938.0	фотосессии
88.0	ботинки
544.0	шуба
1104.0	ваз
2909.0	чехол
1326.0	обои
1308.0	дом
50.0	костюм
2903.0	xbox
2263.0	репетитор
682.0	волосы
1232.0	набор
125.0	платье
1093.0	лодочный
415.0	платье
2936.0	смарт
2443.0	полусапоги
960.0	мобиль
2264.0	ваз
2918.0	iphone
2827.0	acer
2796.0	игровой
1038.0	марта
399.0	платье
450.0	туфли
386.0	платье
1364.0	подъюбник
415.0	платье
749.0	ортез
2587.0	мангал
-1.0	квартира,
484.0	кроссовки
1293.0	камаротравилка
67.0	рубашка
361.0	сумка
2052.0	отдам
418.0	мокасины
1002.0	коляска
1732.0	фикусята
96.0	куртка
47.0	ботинки
1789.0	холодильник
2419.0	копеек
-1.0	квартира,
572.0	платье
2862.0	плата
182.0	женская
114.0	блузка
2779.0	картриджи
94.0	зимний
248.0	новая
46.0	туфли
2196.0	отдам
2220.0	квартира,
823.0	кроватка
-1.0	квартира,
84.0	комбинезон
-1.0	квартира,
1400.0	продам
2810.0	сумка
1512.0	тэн
2715.0	гироскутер
-1.0	квартира,
23.0	кольцо
97.0	ветровка
-1.0	квартира,
-1.0	квартира,
2218.0	квартира,
378.0	юбка
308.0	сумки
2793.0	мониторы
523.0	пальто
882.0	коврик
466.0	туфли
1240.0	электрорубанок
2217.0	квартира,
2038.0	продам
649.0	куртка
1484.0	шкаф
42.0	комбинезон
82.0	платье
111.0	кофточка
3049.0	dvd
2896.0	vita
1308.0	дом
2202.0	хомяк
853.0	ходунки
2264.0	ваз
2962.0	ноутбук
2040.0	клетка
2996.0	объектив
375.0	юбка
535.0	плащ
1415.0	костюм
1886.0	сплит-система
1419.0	джинсовая
1027.0	купания
2918.0	iphone
1490.0	стенка
42.0	комбинезон
75.0	конверт
1142.0	ваз
-1.0	квартира,
91.0	резиновые
2772.0	мфу
47.0	ботинки
378.0	юбка
2917.0	s
2210.0	продам
2996.0	объектив
-1.0	квартира,
817.0	кормления
2514.0	пианино
95.0	куртка
49.0	резиновые
2218.0	квартира,
1060.0	трактор
-1.0	квартира,
2189.0	продам
2060.0	отдам
1823.0	блендер
31.0	часы
618.0	платье
3028.0	автомобильная
386.0	платье
796.0	автолюлька
3061.0	tascam
1417.0	ковер
907.0	пазлы
650.0	куртка
315.0	сумка
1429.0	квартира,
1056.0	продам
126.0	шорты
566.0	костюм
2942.0	lg
1710.0	вакуумные
-1.0	квартира,
1177.0	мясо
823.0	кроватка
1108.0	ваз
1788.0	холодильник
1108.0	ваз
2219.0	квартира,
2221.0	квартира,
1427.0	кухонные
1196.0	продам
94.0	зимний
1596.0	часы
1425.0	матрас
1238.0	станок
44.0	сандали
811.0	кормления
1726.0	дом
2544.0	пазлы
870.0	бочонок
1449.0	спальный
388.0	платье
1132.0	ford
62.0	мальчика
-1.0	квартира,
386.0	платье
78.0	шорты
96.0	куртка
84.0	комбинезон
2064.0	дымка
2653.0	ролики
1409.0	квартира,
101.0	шапочка
2770.0	принтер
775.0	тональный
544.0	шуба
2094.0	продам
-1.0	квартира,
1408.0	квартира,
1302.0	дом
38.0	часы
-1.0	квартира,
2918.0	iphone
87.0	туфли
445.0	балетки
2078.0	дома
82.0	платье
438.0	ботильоны
1433.0	матрас
1430.0	квартира,
560.0	платье
962.0	плюшевый
2876.0	планшет
3022.0	телевизор
1002.0	коляска
2877.0	планшет
2264.0	ваз
448.0	adidas
2930.0	meizu
438.0	ботильоны
1425.0	матрас
1726.0	дом
2249.0	катетер
43.0	кеды
528.0	куртка
2876.0	планшет
2795.0	компьютер
869.0	игрушечных
91.0	резиновые
97.0	ветровка
667.0	жилетка
545.0	куртка
1118.0	toyota
2874.0	чехол
2918.0	iphone
388.0	платье
536.0	дубленка
49.0	резиновые
1447.0	диван
1076.0	пенопласт
1610.0	панно
1431.0	диван
2256.0	романтический
2944.0	xiaomi
422.0	обувь
404.0	платье
-1.0	квартира,
771.0	вода
1620.0	тарелка
1926.0	перчаточный
2219.0	квартира,
2865.0	видеокарта
2221.0	квартира,
1108.0	ваз
2951.0	asus
1557.0	картина
2245.0	флаксы
1681.0	ящик
2932.0	samsung
334.0	шапка
97.0	ветровка
1521.0	продам
-1.0	квартира,
800.0	пароварка
1118.0	toyota
1313.0	лист
-1.0	квартира,
1437.0	кровать
464.0	кроссовки
2568.0	линия
580.0	джинсы
71.0	джинсы
2646.0	щитки
2238.0	скарлетт
2424.0	гоголь
72.0	брюки
84.0	комбинезон
425.0	туфли
1488.0	шкаф
1089.0	презервативы
125.0	платье
1916.0	стрижки
527.0	куртка
47.0	ботинки
467.0	кроссовки
1447.0	диван
1609.0	статуэтка
2918.0	iphone
97.0	ветровка
1887.0	кондиционер
1360.0	мотоблок
81.0	юбка
492.0	сапоги
-1.0	квартира,
523.0	пальто
535.0	плащ
1484.0	шкаф
560.0	платье
2221.0	квартира,
82.0	платье
1597.0	розы
119.0	джинсы
388.0	платье
2762.0	тестораскаточная
2218.0	квартира,
1132.0	ford
3045.0	фотодизайн.
958.0	мягкие
-1.0	квартира,
2264.0	ваз
2918.0	iphone
114.0	блузка
395.0	платье
3029.0	сабвуфер
2264.0	ваз
3007.0	драйвер
1431.0	диван
107.0	кофта
1152.0	свежая
603.0	форма
-1.0	квартира,
1133.0	автокресло
1752.0	дом
2014.0	аквариум
1055.0	газ
2187.0	участок
88.0	ботинки
1916.0	стрижки
2199.0	шиншилла
215.0	ремень
2218.0	квартира,
43.0	кеды
395.0	платье
1132.0	ford
1118.0	toyota
2849.0	v
44.0	сандали
523.0	пальто
592.0	комбинезон
1536.0	журнальный
92.0	чешки
523.0	пальто
1447.0	диван
824.0	столик
2383.0	пальто
2595.0	спальный
126.0	шорты
2218.0	квартира,
120.0	костюм
648.0	куртка
1524.0	кушетка-софа
862.0	коляска
386.0	платье
94.0	зимний
62.0	мальчика
-1.0	квартира,
823.0	кроватка
91.0	резиновые
1500.0	плечики-вешалки
448.0	adidas
2040.0	клетка
49.0	резиновые
1510.0	шуба
96.0	куртка
36.0	анемометр
334.0	шапка
1383.0	продам
43.0	кеды
732.0	бандаж
826.0	манеж
1486.0	стенка
862.0	коляска
-1.0	квартира,
560.0	платье
1918.0	волос
42.0	комбинезон
648.0	куртка
658.0	джинсы
588.0	брюки
98.0	костюм
629.0	свитшот
1840.0	мясорубка
1288.0	участке
1132.0	ford
1559.0	икона
80.0	платье
3028.0	автомобильная
2368.0	велосипед
-1.0	квартира,
585.0	брюки
632.0	футболка
2795.0	компьютер
1490.0	стенка
-1.0	квартира,
1002.0	коляска
426.0	тапки(слипы)
2219.0	квартира,
-1.0	квартира,
801.0	смесь
2698.0	обочины
165.0	сумка
79.0	костюм
-1.0	квартира,
2932.0	samsung
-1.0	квартира,
1921.0	плойка
2927.0	highscreen
528.0	куртка
656.0	костюм
2262.0	ваз
1102.0	chevrolet
1383.0	продам
2853.0	ddr
436.0	ботинки
2767.0	панасоник
1118.0	toyota
528.0	куртка
1091.0	новый
417.0	купальник
2370.0	велосипед
2118.0	йорк
1923.0	электробритва
1490.0	стенка
-1.0	квартира,
1002.0	коляска
-1.0	квартира,
3011.0	зарядное
1488.0	шкаф
